index,task,phase,cl_result,run,tstamp,algorithm,manager,gem_memory_strength,gem_patterns_per_experience,dense_size,ridge_result
121,0,0,0.8441,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.8408
122,0,1,0.7469,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.7819
123,0,2,0.4305,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.7188
124,0,3,0.2708,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.6894
125,0,4,0.2005,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.6994
126,0,5,0.2604,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.6939
127,0,6,0.1531,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.6823
128,0,7,0.138,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.6722
129,0,8,0.1303,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.6549
130,0,9,0.1329,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.6475
131,0,10,0.1121,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.6532
132,1,0,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.67
133,1,1,0.84,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.846
134,1,2,0.548,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.779
135,1,3,0.349,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.759
136,1,4,0.366,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.778
137,1,5,0.374,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.767
138,1,6,0.318,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.754
139,1,7,0.296,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.759
140,1,8,0.273,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.751
141,1,9,0.297,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.781
142,1,10,0.28,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.75
143,2,0,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.553
144,2,1,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.611
145,2,2,0.81,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.816
146,2,3,0.448,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.719
147,2,4,0.384,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.709
148,2,5,0.428,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.682
149,2,6,0.277,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.694
150,2,7,0.284,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.695
151,2,8,0.268,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.689
152,2,9,0.261,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.67
