index,task,phase,cl_result,run,tstamp,algorithm,manager,gem_memory_strength,gem_patterns_per_experience,dense_size,ridge_result
3768,1,6,0.576,gem,1695714234.9193308,gem,True,0,1000,128,0.706
3769,1,7,0.573,gem,1695714234.9193308,gem,True,0,1000,128,0.675
3770,1,8,0.58,gem,1695714234.9193308,gem,True,0,1000,128,0.697
3771,1,9,0.57,gem,1695714234.9193308,gem,True,0,1000,128,0.682
3772,1,10,0.54,gem,1695714234.9193308,gem,True,0,1000,128,0.685
3773,2,0,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.492
3774,2,1,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.548
3775,2,2,0.796,gem,1695714234.9193308,gem,True,0,1000,128,0.786
3776,2,3,0.641,gem,1695714234.9193308,gem,True,0,1000,128,0.692
3777,2,4,0.592,gem,1695714234.9193308,gem,True,0,1000,128,0.69
3778,2,5,0.517,gem,1695714234.9193308,gem,True,0,1000,128,0.652
3779,2,6,0.49,gem,1695714234.9193308,gem,True,0,1000,128,0.677
3780,2,7,0.557,gem,1695714234.9193308,gem,True,0,1000,128,0.695
3781,2,8,0.578,gem,1695714234.9193308,gem,True,0,1000,128,0.694
3782,2,9,0.54,gem,1695714234.9193308,gem,True,0,1000,128,0.674
3783,2,10,0.523,gem,1695714234.9193308,gem,True,0,1000,128,0.685
3784,3,0,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.535
3785,3,1,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.56
3786,3,2,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.578
3787,3,3,0.815,gem,1695714234.9193308,gem,True,0,1000,128,0.815
3788,3,4,0.705,gem,1695714234.9193308,gem,True,0,1000,128,0.759
3789,3,5,0.615,gem,1695714234.9193308,gem,True,0,1000,128,0.702
3790,3,6,0.54,gem,1695714234.9193308,gem,True,0,1000,128,0.701
3791,3,7,0.56,gem,1695714234.9193308,gem,True,0,1000,128,0.692
3792,3,8,0.592,gem,1695714234.9193308,gem,True,0,1000,128,0.698
3793,3,9,0.578,gem,1695714234.9193308,gem,True,0,1000,128,0.704
3794,3,10,0.531,gem,1695714234.9193308,gem,True,0,1000,128,0.669
3795,4,0,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.47
3796,4,1,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.486
3797,4,2,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.544
3798,4,3,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.577
3799,4,4,0.812,gem,1695714234.9193308,gem,True,0,1000,128,0.802
3800,4,5,0.686,gem,1695714234.9193308,gem,True,0,1000,128,0.693
3801,4,6,0.59,gem,1695714234.9193308,gem,True,0,1000,128,0.682
3802,4,7,0.535,gem,1695714234.9193308,gem,True,0,1000,128,0.666
3803,4,8,0.57,gem,1695714234.9193308,gem,True,0,1000,128,0.667
3804,4,9,0.543,gem,1695714234.9193308,gem,True,0,1000,128,0.676
3805,4,10,0.494,gem,1695714234.9193308,gem,True,0,1000,128,0.656
3806,5,0,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.518
3807,5,1,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.624
3808,5,2,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.65
3809,5,3,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.635
3810,5,4,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.673
3811,5,5,0.837,gem,1695714234.9193308,gem,True,0,1000,128,0.833
3812,5,6,0.733,gem,1695714234.9193308,gem,True,0,1000,128,0.788
3813,5,7,0.7,gem,1695714234.9193308,gem,True,0,1000,128,0.76
3814,5,8,0.651,gem,1695714234.9193308,gem,True,0,1000,128,0.757
3815,5,9,0.635,gem,1695714234.9193308,gem,True,0,1000,128,0.722
3816,5,10,0.612,gem,1695714234.9193308,gem,True,0,1000,128,0.73
3817,6,0,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.471
3818,6,1,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.585
3819,6,2,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.613
3820,6,3,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.606
3821,6,4,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.621
3822,6,5,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.649
3823,6,6,0.869,gem,1695714234.9193308,gem,True,0,1000,128,0.859
3824,6,7,0.76,gem,1695714234.9193308,gem,True,0,1000,128,0.801
3825,6,8,0.722,gem,1695714234.9193308,gem,True,0,1000,128,0.792
3826,6,9,0.611,gem,1695714234.9193308,gem,True,0,1000,128,0.756
3827,6,10,0.602,gem,1695714234.9193308,gem,True,0,1000,128,0.749
3828,7,0,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.423
3829,7,1,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.483
3830,7,2,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.536
3831,7,3,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.579
3832,7,4,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.593
3833,7,5,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.584
3834,7,6,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.597
3835,7,7,0.799,gem,1695714234.9193308,gem,True,0,1000,128,0.815
3836,7,8,0.677,gem,1695714234.9193308,gem,True,0,1000,128,0.73
3837,7,9,0.636,gem,1695714234.9193308,gem,True,0,1000,128,0.715
3838,7,10,0.618,gem,1695714234.9193308,gem,True,0,1000,128,0.683
3839,8,0,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.565
3840,8,1,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.673
3841,8,2,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.694
3842,8,3,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.698
3843,8,4,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.721
3844,8,5,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.742
3845,8,6,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.735
3846,8,7,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.729
3847,8,8,0.896,gem,1695714234.9193308,gem,True,0,1000,128,0.89
3848,8,9,0.815,gem,1695714234.9193308,gem,True,0,1000,128,0.832
3849,8,10,0.779,gem,1695714234.9193308,gem,True,0,1000,128,0.83
3850,9,0,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.417
3851,9,1,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.507
3852,9,2,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.564
3853,9,3,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.562
3854,9,4,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.58
3855,9,5,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.574
3856,9,6,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.609
3857,9,7,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.635
3858,9,8,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.619
3859,9,9,0.813,gem,1695714234.9193308,gem,True,0,1000,128,0.813
3860,9,10,0.654,gem,1695714234.9193308,gem,True,0,1000,128,0.745
3861,10,0,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.509
3862,10,1,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.586
3863,10,2,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.669
3864,10,3,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.621
3865,10,4,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.633
3866,10,5,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.637
3867,10,6,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.664
3868,10,7,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.674
3869,10,8,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.668
3870,10,9,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.699
3871,10,10,0.849,gem,1695714234.9193308,gem,True,0,1000,128,0.855
3872,0,0,0.8375,gem,1695714234.9137857,gem,True,0,5000,256,0.8317
3873,0,1,0.7289,gem,1695714234.9137857,gem,True,0,5000,256,0.7618
3874,0,2,0.6707,gem,1695714234.9137857,gem,True,0,5000,256,0.7216
3875,0,3,0.6714,gem,1695714234.9137857,gem,True,0,5000,256,0.7234
3876,0,4,0.6223,gem,1695714234.9137857,gem,True,0,5000,256,0.7041
3877,0,5,0.6093,gem,1695714234.9137857,gem,True,0,5000,256,0.6909
3878,0,6,0.6299,gem,1695714234.9137857,gem,True,0,5000,256,0.6918
3879,0,7,0.627,gem,1695714234.9137857,gem,True,0,5000,256,0.693
3880,0,8,0.6344,gem,1695714234.9137857,gem,True,0,5000,256,0.69
3881,0,9,0.6115,gem,1695714234.9137857,gem,True,0,5000,256,0.6853
3882,0,10,0.5979,gem,1695714234.9137857,gem,True,0,5000,256,0.6786
3883,1,0,0.1,gem,1695714234.9137857,gem,True,0,5000,256,0.626
3884,1,1,0.825,gem,1695714234.9137857,gem,True,0,5000,256,0.832
3885,1,2,0.75,gem,1695714234.9137857,gem,True,0,5000,256,0.784
3886,1,3,0.745,gem,1695714234.9137857,gem,True,0,5000,256,0.8
3887,1,4,0.706,gem,1695714234.9137857,gem,True,0,5000,256,0.756
3888,1,5,0.71,gem,1695714234.9137857,gem,True,0,5000,256,0.751
