index,task,phase,cl_result,run,tstamp,algorithm,manager,replay_mem_size,ridge_result
169,3,4,0.5395,ewc,1700441621.8540628,replay,True,30000,0.5525
170,4,0,0.025,ewc,1700441621.8540628,replay,True,30000,0.3895
171,4,1,0.025,ewc,1700441621.8540628,replay,True,30000,0.4285
172,4,2,0.025,ewc,1700441621.8540628,replay,True,30000,0.446
173,4,3,0.025,ewc,1700441621.8540628,replay,True,30000,0.4435
174,4,4,0.5235,ewc,1700441621.8540628,replay,True,30000,0.5215
175,0,0,0.542,ewc,1700441831.3431375,replay,True,40000,0.542
176,0,1,0.6265,ewc,1700441831.3431375,replay,True,40000,0.57
177,0,2,0.604,ewc,1700441831.3431375,replay,True,40000,0.5585
178,0,3,0.6065,ewc,1700441831.3431375,replay,True,40000,0.545
179,0,4,0.614,ewc,1700441831.3431375,replay,True,40000,0.5335
180,1,0,0.025,ewc,1700441831.3431375,replay,True,40000,0.4775
181,1,1,0.6275,ewc,1700441831.3431375,replay,True,40000,0.627
182,1,2,0.606,ewc,1700441831.3431375,replay,True,40000,0.627
183,1,3,0.6035,ewc,1700441831.3431375,replay,True,40000,0.6195
184,1,4,0.6045,ewc,1700441831.3431375,replay,True,40000,0.617
185,2,0,0.025,ewc,1700441831.3431375,replay,True,40000,0.4225
186,2,1,0.025,ewc,1700441831.3431375,replay,True,40000,0.457
187,2,2,0.548,ewc,1700441831.3431375,replay,True,40000,0.5465
188,2,3,0.5395,ewc,1700441831.3431375,replay,True,40000,0.5435
189,2,4,0.5495,ewc,1700441831.3431375,replay,True,40000,0.5405
190,3,0,0.025,ewc,1700441831.3431375,replay,True,40000,0.3895
191,3,1,0.025,ewc,1700441831.3431375,replay,True,40000,0.44
192,3,2,0.025,ewc,1700441831.3431375,replay,True,40000,0.441
193,3,3,0.5525,ewc,1700441831.3431375,replay,True,40000,0.5525
194,3,4,0.5265,ewc,1700441831.3431375,replay,True,40000,0.533
195,4,0,0.025,ewc,1700441831.3431375,replay,True,40000,0.362
196,4,1,0.025,ewc,1700441831.3431375,replay,True,40000,0.4065
197,4,2,0.025,ewc,1700441831.3431375,replay,True,40000,0.4345
198,4,3,0.025,ewc,1700441831.3431375,replay,True,40000,0.452
199,4,4,0.5175,ewc,1700441831.3431375,replay,True,40000,0.52
200,0,0,0.542,ewc,1700442121.831655,replay,True,50000,0.542
201,0,1,0.6265,ewc,1700442121.831655,replay,True,50000,0.57
202,0,2,0.604,ewc,1700442121.831655,replay,True,50000,0.5585
203,0,3,0.5915,ewc,1700442121.831655,replay,True,50000,0.531
204,0,4,0.582,ewc,1700442121.831655,replay,True,50000,0.5335
205,1,0,0.025,ewc,1700442121.831655,replay,True,50000,0.4775
206,1,1,0.6275,ewc,1700442121.831655,replay,True,50000,0.627
207,1,2,0.606,ewc,1700442121.831655,replay,True,50000,0.627
208,1,3,0.5955,ewc,1700442121.831655,replay,True,50000,0.617
209,1,4,0.5825,ewc,1700442121.831655,replay,True,50000,0.625
210,2,0,0.025,ewc,1700442121.831655,replay,True,50000,0.4225
211,2,1,0.025,ewc,1700442121.831655,replay,True,50000,0.457
212,2,2,0.548,ewc,1700442121.831655,replay,True,50000,0.5465
213,2,3,0.539,ewc,1700442121.831655,replay,True,50000,0.55
214,2,4,0.527,ewc,1700442121.831655,replay,True,50000,0.5485
215,3,0,0.025,ewc,1700442121.831655,replay,True,50000,0.384
216,3,1,0.025,ewc,1700442121.831655,replay,True,50000,0.42
217,3,2,0.025,ewc,1700442121.831655,replay,True,50000,0.429
218,3,3,0.5305,ewc,1700442121.831655,replay,True,50000,0.5365
219,3,4,0.5255,ewc,1700442121.831655,replay,True,50000,0.5305
220,4,0,0.025,ewc,1700442121.831655,replay,True,50000,0.3695
221,4,1,0.025,ewc,1700442121.831655,replay,True,50000,0.399
222,4,2,0.025,ewc,1700442121.831655,replay,True,50000,0.4275
223,4,3,0.025,ewc,1700442121.831655,replay,True,50000,0.4325
224,4,4,0.488,ewc,1700442121.831655,replay,True,50000,0.496
