index,task,phase,cl_result,run,tstamp,algorithm,manager,lwf_temperature,lwf_alpha,dense_size,ridge_result
167,4,2,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.703
168,4,3,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.73
169,4,4,0.848,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.852
170,4,5,0.808,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.815
171,4,6,0.773,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.809
172,4,7,0.74,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.808
173,4,8,0.736,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.797
174,4,9,0.713,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.777
175,4,10,0.67,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.773
176,5,0,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.558
177,5,1,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.619
178,5,2,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.651
179,5,3,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.666
180,5,4,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.693
181,5,5,0.832,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.834
182,5,6,0.796,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.81
183,5,7,0.795,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.796
184,5,8,0.762,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.786
185,5,9,0.723,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.767
186,5,10,0.71,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.757
187,6,0,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.564
188,6,1,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.614
189,6,2,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.65
190,6,3,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.648
191,6,4,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.677
192,6,5,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.694
193,6,6,0.857,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.844
194,6,7,0.83,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.828
195,6,8,0.803,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.823
196,6,9,0.796,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.811
197,6,10,0.738,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.795
198,7,0,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.52
199,7,1,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.559
200,7,2,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.595
201,7,3,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.582
202,7,4,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.621
203,7,5,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.627
204,7,6,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.638
205,7,7,0.79,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.776
206,7,8,0.743,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.751
207,7,9,0.72,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.73
208,7,10,0.667,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.708
209,8,0,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.542
210,8,1,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.601
211,8,2,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.632
212,8,3,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.673
213,8,4,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.663
214,8,5,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.685
215,8,6,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.682
216,8,7,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.729
217,8,8,0.828,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.831
218,8,9,0.817,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.832
219,8,10,0.796,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.825
220,9,0,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.56
221,9,1,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.632
222,9,2,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.66
223,9,3,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.691
224,9,4,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.679
