index,task,phase,cl_result,run,tstamp,algorithm,manager,lwf_alpha,lwf_temperature,dense_size,ridge_result
111,10,1,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.634
112,10,2,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.66
113,10,3,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.671
114,10,4,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.677
115,10,5,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.691
116,10,6,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.691
117,10,7,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.701
118,10,8,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.703
119,10,9,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.71
120,10,10,0.813,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.809
121,0,0,0.8281,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.8211
122,0,1,0.7096,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.7473
123,0,2,0.6277,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.6927
124,0,3,0.5851,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.6662
125,0,4,0.5695,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.6695
126,0,5,0.5301,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.6545
127,0,6,0.4947,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.6441
128,0,7,0.4547,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.6279
129,0,8,0.4195,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.6163
130,0,9,0.4085,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.6128
131,0,10,0.3822,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.6199
132,1,0,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.652
133,1,1,0.858,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.853
134,1,2,0.75,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.774
135,1,3,0.73,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.772
136,1,4,0.695,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.759
137,1,5,0.66,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.754
138,1,6,0.613,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.752
139,1,7,0.599,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.724
140,1,8,0.582,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.734
141,1,9,0.566,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.748
142,1,10,0.512,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.727
143,2,0,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.45
144,2,1,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.537
