index,task,phase,cl_result,run,tstamp,algorithm,manager,si_lambda,si_eps,dense_size,ridge_result
121,0,0,0.8441,si,1693682355.3109515,si,True,0.01,1e-08,256,0.8414
122,0,1,0.7159,si,1693682355.3109515,si,True,0.01,1e-08,256,0.7859
123,0,2,0.6059,si,1693682355.3109515,si,True,0.01,1e-08,256,0.7118
124,0,3,0.3925,si,1693682355.3109515,si,True,0.01,1e-08,256,0.6987
125,0,4,0.5304,si,1693682355.3109515,si,True,0.01,1e-08,256,0.6925
126,0,5,0.4854,si,1693682355.3109515,si,True,0.01,1e-08,256,0.6719
127,0,6,0.429,si,1693682355.3109515,si,True,0.01,1e-08,256,0.6658
128,0,7,0.4446,si,1693682355.3109515,si,True,0.01,1e-08,256,0.6622
129,0,8,0.3979,si,1693682355.3109515,si,True,0.01,1e-08,256,0.6425
130,0,9,0.3874,si,1693682355.3109515,si,True,0.01,1e-08,256,0.6311
131,0,10,0.3563,si,1693682355.3109515,si,True,0.01,1e-08,256,0.6258
132,1,0,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.665
133,1,1,0.846,si,1693682355.3109515,si,True,0.01,1e-08,256,0.847
134,1,2,0.711,si,1693682355.3109515,si,True,0.01,1e-08,256,0.782
135,1,3,0.616,si,1693682355.3109515,si,True,0.01,1e-08,256,0.762
136,1,4,0.704,si,1693682355.3109515,si,True,0.01,1e-08,256,0.762
137,1,5,0.64,si,1693682355.3109515,si,True,0.01,1e-08,256,0.775
138,1,6,0.571,si,1693682355.3109515,si,True,0.01,1e-08,256,0.735
139,1,7,0.596,si,1693682355.3109515,si,True,0.01,1e-08,256,0.753
140,1,8,0.552,si,1693682355.3109515,si,True,0.01,1e-08,256,0.718
141,1,9,0.567,si,1693682355.3109515,si,True,0.01,1e-08,256,0.742
142,1,10,0.483,si,1693682355.3109515,si,True,0.01,1e-08,256,0.703
143,2,0,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.522
144,2,1,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.613
145,2,2,0.788,si,1693682355.3109515,si,True,0.01,1e-08,256,0.794
146,2,3,0.535,si,1693682355.3109515,si,True,0.01,1e-08,256,0.701
