index,task,phase,cl_result,run,tstamp,algorithm,manager,ewc_lambda,dense_size,ridge_result
144,2,1,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.621
145,2,2,0.798,ewc,1693543192.020504,ewc,True,0.1,512,0.791
146,2,3,0.692,ewc,1693543192.020504,ewc,True,0.1,512,0.748
147,2,4,0.637,ewc,1693543192.020504,ewc,True,0.1,512,0.709
148,2,5,0.624,ewc,1693543192.020504,ewc,True,0.1,512,0.727
149,2,6,0.569,ewc,1693543192.020504,ewc,True,0.1,512,0.73
150,2,7,0.568,ewc,1693543192.020504,ewc,True,0.1,512,0.728
151,2,8,0.551,ewc,1693543192.020504,ewc,True,0.1,512,0.695
152,2,9,0.531,ewc,1693543192.020504,ewc,True,0.1,512,0.706
153,2,10,0.526,ewc,1693543192.020504,ewc,True,0.1,512,0.697
154,3,0,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.672
155,3,1,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.697
156,3,2,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.714
157,3,3,0.829,ewc,1693543192.020504,ewc,True,0.1,512,0.824
158,3,4,0.773,ewc,1693543192.020504,ewc,True,0.1,512,0.798
159,3,5,0.73,ewc,1693543192.020504,ewc,True,0.1,512,0.786
160,3,6,0.706,ewc,1693543192.020504,ewc,True,0.1,512,0.788
161,3,7,0.643,ewc,1693543192.020504,ewc,True,0.1,512,0.783
162,3,8,0.624,ewc,1693543192.020504,ewc,True,0.1,512,0.78
163,3,9,0.6,ewc,1693543192.020504,ewc,True,0.1,512,0.768
164,3,10,0.597,ewc,1693543192.020504,ewc,True,0.1,512,0.781
165,4,0,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.667
166,4,1,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.713
167,4,2,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.726
168,4,3,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.748
169,4,4,0.834,ewc,1693543192.020504,ewc,True,0.1,512,0.835
170,4,5,0.801,ewc,1693543192.020504,ewc,True,0.1,512,0.813
171,4,6,0.73,ewc,1693543192.020504,ewc,True,0.1,512,0.805
172,4,7,0.647,ewc,1693543192.020504,ewc,True,0.1,512,0.794
173,4,8,0.617,ewc,1693543192.020504,ewc,True,0.1,512,0.782
174,4,9,0.611,ewc,1693543192.020504,ewc,True,0.1,512,0.784
175,4,10,0.607,ewc,1693543192.020504,ewc,True,0.1,512,0.772
176,5,0,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.644
177,5,1,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.703
178,5,2,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.712
179,5,3,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.707
180,5,4,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.718
181,5,5,0.838,ewc,1693543192.020504,ewc,True,0.1,512,0.826
182,5,6,0.747,ewc,1693543192.020504,ewc,True,0.1,512,0.787
183,5,7,0.669,ewc,1693543192.020504,ewc,True,0.1,512,0.784
184,5,8,0.633,ewc,1693543192.020504,ewc,True,0.1,512,0.782
185,5,9,0.649,ewc,1693543192.020504,ewc,True,0.1,512,0.778
186,5,10,0.584,ewc,1693543192.020504,ewc,True,0.1,512,0.774
187,6,0,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.658
188,6,1,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.722
189,6,2,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.719
190,6,3,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.738
191,6,4,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.735
192,6,5,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.762
193,6,6,0.87,ewc,1693543192.020504,ewc,True,0.1,512,0.869
194,6,7,0.796,ewc,1693543192.020504,ewc,True,0.1,512,0.84
195,6,8,0.746,ewc,1693543192.020504,ewc,True,0.1,512,0.819
196,6,9,0.699,ewc,1693543192.020504,ewc,True,0.1,512,0.805
197,6,10,0.69,ewc,1693543192.020504,ewc,True,0.1,512,0.813
198,7,0,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.605
199,7,1,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.625
200,7,2,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.657
201,7,3,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.645
202,7,4,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.647
203,7,5,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.678
204,7,6,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.674
205,7,7,0.78,ewc,1693543192.020504,ewc,True,0.1,512,0.774
206,7,8,0.744,ewc,1693543192.020504,ewc,True,0.1,512,0.748
207,7,9,0.678,ewc,1693543192.020504,ewc,True,0.1,512,0.748
208,7,10,0.589,ewc,1693543192.020504,ewc,True,0.1,512,0.735
209,8,0,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.659
210,8,1,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.726
211,8,2,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.729
212,8,3,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.737
213,8,4,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.74
214,8,5,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.747
215,8,6,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.741
216,8,7,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.77
217,8,8,0.837,ewc,1693543192.020504,ewc,True,0.1,512,0.832
218,8,9,0.797,ewc,1693543192.020504,ewc,True,0.1,512,0.835
219,8,10,0.779,ewc,1693543192.020504,ewc,True,0.1,512,0.809
220,9,0,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.631
221,9,1,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.714
222,9,2,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.724
223,9,3,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.705
224,9,4,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.737
225,9,5,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.734
226,9,6,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.719
227,9,7,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.752
228,9,8,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.753
229,9,9,0.819,ewc,1693543192.020504,ewc,True,0.1,512,0.821
230,9,10,0.784,ewc,1693543192.020504,ewc,True,0.1,512,0.798
231,10,0,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.615
232,10,1,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.638
233,10,2,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.654
234,10,3,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.67
235,10,4,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.684
236,10,5,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.701
237,10,6,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.705
238,10,7,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.701
