index,task,phase,cl_result,run,tstamp,algorithm,manager,replay_mem_size,dense_size,ridge_result
180,5,4,0.1,replay,1695845549.3966246,replay,True,40000,128,0.735
181,5,5,0.82,replay,1695845549.3966246,replay,True,40000,128,0.818
182,5,6,0.786,replay,1695845549.3966246,replay,True,40000,128,0.795
183,5,7,0.82,replay,1695845549.3966246,replay,True,40000,128,0.808
184,5,8,0.814,replay,1695845549.3966246,replay,True,40000,128,0.797
185,5,9,0.792,replay,1695845549.3966246,replay,True,40000,128,0.801
186,5,10,0.801,replay,1695845549.3966246,replay,True,40000,128,0.802
187,6,0,0.1,replay,1695845549.3966246,replay,True,40000,128,0.465
188,6,1,0.1,replay,1695845549.3966246,replay,True,40000,128,0.61
189,6,2,0.1,replay,1695845549.3966246,replay,True,40000,128,0.65
190,6,3,0.1,replay,1695845549.3966246,replay,True,40000,128,0.681
191,6,4,0.1,replay,1695845549.3966246,replay,True,40000,128,0.695
192,6,5,0.1,replay,1695845549.3966246,replay,True,40000,128,0.706
193,6,6,0.865,replay,1695845549.3966246,replay,True,40000,128,0.857
194,6,7,0.842,replay,1695845549.3966246,replay,True,40000,128,0.832
195,6,8,0.84,replay,1695845549.3966246,replay,True,40000,128,0.843
196,6,9,0.835,replay,1695845549.3966246,replay,True,40000,128,0.834
197,6,10,0.818,replay,1695845549.3966246,replay,True,40000,128,0.82
198,7,0,0.1,replay,1695845549.3966246,replay,True,40000,128,0.433
199,7,1,0.1,replay,1695845549.3966246,replay,True,40000,128,0.504
200,7,2,0.1,replay,1695845549.3966246,replay,True,40000,128,0.59
201,7,3,0.1,replay,1695845549.3966246,replay,True,40000,128,0.645
202,7,4,0.1,replay,1695845549.3966246,replay,True,40000,128,0.648
203,7,5,0.1,replay,1695845549.3966246,replay,True,40000,128,0.666
204,7,6,0.1,replay,1695845549.3966246,replay,True,40000,128,0.675
205,7,7,0.794,replay,1695845549.3966246,replay,True,40000,128,0.793
206,7,8,0.777,replay,1695845549.3966246,replay,True,40000,128,0.785
207,7,9,0.78,replay,1695845549.3966246,replay,True,40000,128,0.769
208,7,10,0.782,replay,1695845549.3966246,replay,True,40000,128,0.782
209,8,0,0.1,replay,1695845549.3966246,replay,True,40000,128,0.553
210,8,1,0.1,replay,1695845549.3966246,replay,True,40000,128,0.701
211,8,2,0.1,replay,1695845549.3966246,replay,True,40000,128,0.735
212,8,3,0.1,replay,1695845549.3966246,replay,True,40000,128,0.747
213,8,4,0.1,replay,1695845549.3966246,replay,True,40000,128,0.751
214,8,5,0.1,replay,1695845549.3966246,replay,True,40000,128,0.772
