index,task,phase,cl_result,run,tstamp,algorithm,manager,gem_memory_strength,gem_patterns_per_experience,dense_size,ridge_result
135,1,3,0.816,gem,1695878806.0062895,gem,True,1,20000,128,0.795
136,1,4,0.803,gem,1695878806.0062895,gem,True,1,20000,128,0.777
137,1,5,0.798,gem,1695878806.0062895,gem,True,1,20000,128,0.782
138,1,6,0.803,gem,1695878806.0062895,gem,True,1,20000,128,0.786
139,1,7,0.801,gem,1695878806.0062895,gem,True,1,20000,128,0.79
140,1,8,0.807,gem,1695878806.0062895,gem,True,1,20000,128,0.79
141,1,9,0.812,gem,1695878806.0062895,gem,True,1,20000,128,0.791
142,1,10,0.799,gem,1695878806.0062895,gem,True,1,20000,128,0.793
143,2,0,0.1,gem,1695878806.0062895,gem,True,1,20000,128,0.445
144,2,1,0.1,gem,1695878806.0062895,gem,True,1,20000,128,0.546
145,2,2,0.803,gem,1695878806.0062895,gem,True,1,20000,128,0.811
146,2,3,0.776,gem,1695878806.0062895,gem,True,1,20000,128,0.777
147,2,4,0.754,gem,1695878806.0062895,gem,True,1,20000,128,0.756
148,2,5,0.756,gem,1695878806.0062895,gem,True,1,20000,128,0.765
149,2,6,0.728,gem,1695878806.0062895,gem,True,1,20000,128,0.758
150,2,7,0.729,gem,1695878806.0062895,gem,True,1,20000,128,0.756
151,2,8,0.739,gem,1695878806.0062895,gem,True,1,20000,128,0.757
152,2,9,0.728,gem,1695878806.0062895,gem,True,1,20000,128,0.749
153,2,10,0.716,gem,1695878806.0062895,gem,True,1,20000,128,0.755
154,3,0,0.1,gem,1695878806.0062895,gem,True,1,20000,128,0.572
155,3,1,0.1,gem,1695878806.0062895,gem,True,1,20000,128,0.618
156,3,2,0.1,gem,1695878806.0062895,gem,True,1,20000,128,0.672
157,3,3,0.827,gem,1695878806.0062895,gem,True,1,20000,128,0.819
158,3,4,0.809,gem,1695878806.0062895,gem,True,1,20000,128,0.804
159,3,5,0.803,gem,1695878806.0062895,gem,True,1,20000,128,0.804
160,3,6,0.787,gem,1695878806.0062895,gem,True,1,20000,128,0.793
161,3,7,0.79,gem,1695878806.0062895,gem,True,1,20000,128,0.797
162,3,8,0.784,gem,1695878806.0062895,gem,True,1,20000,128,0.802
163,3,9,0.793,gem,1695878806.0062895,gem,True,1,20000,128,0.815
164,3,10,0.783,gem,1695878806.0062895,gem,True,1,20000,128,0.807
165,4,0,0.1,gem,1695878806.0062895,gem,True,1,20000,128,0.589
166,4,1,0.1,gem,1695878806.0062895,gem,True,1,20000,128,0.648
167,4,2,0.1,gem,1695878806.0062895,gem,True,1,20000,128,0.663
168,4,3,0.1,gem,1695878806.0062895,gem,True,1,20000,128,0.72
169,4,4,0.854,gem,1695878806.0062895,gem,True,1,20000,128,0.846
170,4,5,0.829,gem,1695878806.0062895,gem,True,1,20000,128,0.828
171,4,6,0.814,gem,1695878806.0062895,gem,True,1,20000,128,0.822
172,4,7,0.802,gem,1695878806.0062895,gem,True,1,20000,128,0.809
173,4,8,0.813,gem,1695878806.0062895,gem,True,1,20000,128,0.818
174,4,9,0.811,gem,1695878806.0062895,gem,True,1,20000,128,0.799
175,4,10,0.795,gem,1695878806.0062895,gem,True,1,20000,128,0.792
176,5,0,0.1,gem,1695878806.0062895,gem,True,1,20000,128,0.565
177,5,1,0.1,gem,1695878806.0062895,gem,True,1,20000,128,0.636
178,5,2,0.1,gem,1695878806.0062895,gem,True,1,20000,128,0.651
179,5,3,0.1,gem,1695878806.0062895,gem,True,1,20000,128,0.682
180,5,4,0.1,gem,1695878806.0062895,gem,True,1,20000,128,0.701
181,5,5,0.823,gem,1695878806.0062895,gem,True,1,20000,128,0.826
182,5,6,0.804,gem,1695878806.0062895,gem,True,1,20000,128,0.816
183,5,7,0.787,gem,1695878806.0062895,gem,True,1,20000,128,0.794
184,5,8,0.784,gem,1695878806.0062895,gem,True,1,20000,128,0.804
185,5,9,0.785,gem,1695878806.0062895,gem,True,1,20000,128,0.805
186,5,10,0.776,gem,1695878806.0062895,gem,True,1,20000,128,0.788
187,6,0,0.1,gem,1695878806.0062895,gem,True,1,20000,128,0.549
188,6,1,0.1,gem,1695878806.0062895,gem,True,1,20000,128,0.61
189,6,2,0.1,gem,1695878806.0062895,gem,True,1,20000,128,0.661
190,6,3,0.1,gem,1695878806.0062895,gem,True,1,20000,128,0.688
191,6,4,0.1,gem,1695878806.0062895,gem,True,1,20000,128,0.703
192,6,5,0.1,gem,1695878806.0062895,gem,True,1,20000,128,0.726
193,6,6,0.859,gem,1695878806.0062895,gem,True,1,20000,128,0.847
194,6,7,0.83,gem,1695878806.0062895,gem,True,1,20000,128,0.811
195,6,8,0.823,gem,1695878806.0062895,gem,True,1,20000,128,0.831
196,6,9,0.822,gem,1695878806.0062895,gem,True,1,20000,128,0.825
197,6,10,0.812,gem,1695878806.0062895,gem,True,1,20000,128,0.812
198,7,0,0.1,gem,1695878806.0062895,gem,True,1,20000,128,0.539
199,7,1,0.1,gem,1695878806.0062895,gem,True,1,20000,128,0.556
200,7,2,0.1,gem,1695878806.0062895,gem,True,1,20000,128,0.609
201,7,3,0.1,gem,1695878806.0062895,gem,True,1,20000,128,0.619
202,7,4,0.1,gem,1695878806.0062895,gem,True,1,20000,128,0.639
203,7,5,0.1,gem,1695878806.0062895,gem,True,1,20000,128,0.672
204,7,6,0.1,gem,1695878806.0062895,gem,True,1,20000,128,0.672
205,7,7,0.771,gem,1695878806.0062895,gem,True,1,20000,128,0.764
206,7,8,0.765,gem,1695878806.0062895,gem,True,1,20000,128,0.769
207,7,9,0.74,gem,1695878806.0062895,gem,True,1,20000,128,0.765
