index,task,phase,cl_result,run,tstamp,algorithm,manager,ewc_lambda,ridge_result
203,0,3,0.3985,ewc,1700439956.2506645,ewc,True,100,0.559
204,0,4,0.413,ewc,1700439956.2506645,ewc,True,100,0.57
205,1,0,0.025,ewc,1700439956.2506645,ewc,True,100,0.401
206,1,1,0.5685,ewc,1700439956.2506645,ewc,True,100,0.573
207,1,2,0.453,ewc,1700439956.2506645,ewc,True,100,0.5405
208,1,3,0.483,ewc,1700439956.2506645,ewc,True,100,0.554
209,1,4,0.495,ewc,1700439956.2506645,ewc,True,100,0.559
210,2,0,0.025,ewc,1700439956.2506645,ewc,True,100,0.326
211,2,1,0.025,ewc,1700439956.2506645,ewc,True,100,0.351
212,2,2,0.479,ewc,1700439956.2506645,ewc,True,100,0.48
213,2,3,0.4805,ewc,1700439956.2506645,ewc,True,100,0.4885
214,2,4,0.4795,ewc,1700439956.2506645,ewc,True,100,0.4835
215,3,0,0.025,ewc,1700439956.2506645,ewc,True,100,0.374
216,3,1,0.025,ewc,1700439956.2506645,ewc,True,100,0.393
217,3,2,0.025,ewc,1700439956.2506645,ewc,True,100,0.4295
218,3,3,0.4845,ewc,1700439956.2506645,ewc,True,100,0.4895
219,3,4,0.4685,ewc,1700439956.2506645,ewc,True,100,0.475
220,4,0,0.025,ewc,1700439956.2506645,ewc,True,100,0.419
221,4,1,0.025,ewc,1700439956.2506645,ewc,True,100,0.4305
222,4,2,0.025,ewc,1700439956.2506645,ewc,True,100,0.4785
223,4,3,0.025,ewc,1700439956.2506645,ewc,True,100,0.497
224,4,4,0.511,ewc,1700439956.2506645,ewc,True,100,0.517
225,0,0,0.627,ewc,1700439968.1998348,ewc,True,1000,0.633
226,0,1,0.421,ewc,1700439968.1998348,ewc,True,1000,0.557
227,0,2,0.4465,ewc,1700439968.1998348,ewc,True,1000,0.57
228,0,3,0.459,ewc,1700439968.1998348,ewc,True,1000,0.5745
229,0,4,0.4555,ewc,1700439968.1998348,ewc,True,1000,0.5695
230,1,0,0.025,ewc,1700439968.1998348,ewc,True,1000,0.377
231,1,1,0.514,ewc,1700439968.1998348,ewc,True,1000,0.513
232,1,2,0.551,ewc,1700439968.1998348,ewc,True,1000,0.528
233,1,3,0.5575,ewc,1700439968.1998348,ewc,True,1000,0.5255
234,1,4,0.5635,ewc,1700439968.1998348,ewc,True,1000,0.5345
235,2,0,0.025,ewc,1700439968.1998348,ewc,True,1000,0.3575
236,2,1,0.025,ewc,1700439968.1998348,ewc,True,1000,0.416
237,2,2,0.437,ewc,1700439968.1998348,ewc,True,1000,0.4335
238,2,3,0.4515,ewc,1700439968.1998348,ewc,True,1000,0.4335
239,2,4,0.454,ewc,1700439968.1998348,ewc,True,1000,0.431
240,3,0,0.025,ewc,1700439968.1998348,ewc,True,1000,0.3955
241,3,1,0.025,ewc,1700439968.1998348,ewc,True,1000,0.4335
242,3,2,0.025,ewc,1700439968.1998348,ewc,True,1000,0.456
243,3,3,0.4625,ewc,1700439968.1998348,ewc,True,1000,0.458
244,3,4,0.4425,ewc,1700439968.1998348,ewc,True,1000,0.45
245,4,0,0.025,ewc,1700439968.1998348,ewc,True,1000,0.4435
246,4,1,0.025,ewc,1700439968.1998348,ewc,True,1000,0.482
247,4,2,0.025,ewc,1700439968.1998348,ewc,True,1000,0.5035
248,4,3,0.025,ewc,1700439968.1998348,ewc,True,1000,0.503
249,4,4,0.4975,ewc,1700439968.1998348,ewc,True,1000,0.501
250,0,0,0.627,ewc,1700442835.0802503,ewc,True,100000,0.633
251,0,1,0.607,ewc,1700442835.0802503,ewc,True,100000,0.639
252,0,2,0.6275,ewc,1700442835.0802503,ewc,True,100000,0.64
253,0,3,0.638,ewc,1700442835.0802503,ewc,True,100000,0.6405
254,0,4,0.63,ewc,1700442835.0802503,ewc,True,100000,0.6425
255,1,0,0.025,ewc,1700442835.0802503,ewc,True,100000,0.4315
256,1,1,0.4725,ewc,1700442835.0802503,ewc,True,100000,0.4745
257,1,2,0.4875,ewc,1700442835.0802503,ewc,True,100000,0.4775
258,1,3,0.4825,ewc,1700442835.0802503,ewc,True,100000,0.4765
259,1,4,0.485,ewc,1700442835.0802503,ewc,True,100000,0.4805
260,2,0,0.025,ewc,1700442835.0802503,ewc,True,100000,0.42
261,2,1,0.025,ewc,1700442835.0802503,ewc,True,100000,0.445
262,2,2,0.448,ewc,1700442835.0802503,ewc,True,100000,0.4465
263,2,3,0.4375,ewc,1700442835.0802503,ewc,True,100000,0.4455
264,2,4,0.43,ewc,1700442835.0802503,ewc,True,100000,0.4485
265,3,0,0.025,ewc,1700442835.0802503,ewc,True,100000,0.4295
266,3,1,0.025,ewc,1700442835.0802503,ewc,True,100000,0.454
267,3,2,0.025,ewc,1700442835.0802503,ewc,True,100000,0.448
268,3,3,0.454,ewc,1700442835.0802503,ewc,True,100000,0.452
269,3,4,0.44,ewc,1700442835.0802503,ewc,True,100000,0.4485
270,4,0,0.025,ewc,1700442835.0802503,ewc,True,100000,0.481
271,4,1,0.025,ewc,1700442835.0802503,ewc,True,100000,0.497
272,4,2,0.025,ewc,1700442835.0802503,ewc,True,100000,0.4865
273,4,3,0.025,ewc,1700442835.0802503,ewc,True,100000,0.4925
274,4,4,0.4925,ewc,1700442835.0802503,ewc,True,100000,0.492
275,0,0,0.627,ewc,1700442835.0903792,ewc,True,10000,0.633
276,0,1,0.546,ewc,1700442835.0903792,ewc,True,10000,0.626
277,0,2,0.55,ewc,1700442835.0903792,ewc,True,10000,0.6205
278,0,3,0.5745,ewc,1700442835.0903792,ewc,True,10000,0.628
279,0,4,0.5735,ewc,1700442835.0903792,ewc,True,10000,0.625
280,1,0,0.025,ewc,1700442835.0903792,ewc,True,10000,0.3895
281,1,1,0.5295,ewc,1700442835.0903792,ewc,True,10000,0.5315
282,1,2,0.5395,ewc,1700442835.0903792,ewc,True,10000,0.5265
283,1,3,0.5355,ewc,1700442835.0903792,ewc,True,10000,0.531
284,1,4,0.5405,ewc,1700442835.0903792,ewc,True,10000,0.524
285,2,0,0.025,ewc,1700442835.0903792,ewc,True,10000,0.3995
286,2,1,0.025,ewc,1700442835.0903792,ewc,True,10000,0.4605
287,2,2,0.4625,ewc,1700442835.0903792,ewc,True,10000,0.4625
288,2,3,0.454,ewc,1700442835.0903792,ewc,True,10000,0.4625
289,2,4,0.459,ewc,1700442835.0903792,ewc,True,10000,0.4595
290,3,0,0.025,ewc,1700442835.0903792,ewc,True,10000,0.4195
291,3,1,0.025,ewc,1700442835.0903792,ewc,True,10000,0.452
292,3,2,0.025,ewc,1700442835.0903792,ewc,True,10000,0.4585
293,3,3,0.462,ewc,1700442835.0903792,ewc,True,10000,0.456
294,3,4,0.442,ewc,1700442835.0903792,ewc,True,10000,0.454
295,4,0,0.025,ewc,1700442835.0903792,ewc,True,10000,0.4615
296,4,1,0.025,ewc,1700442835.0903792,ewc,True,10000,0.5135
297,4,2,0.025,ewc,1700442835.0903792,ewc,True,10000,0.5155
298,4,3,0.025,ewc,1700442835.0903792,ewc,True,10000,0.5085
299,4,4,0.514,ewc,1700442835.0903792,ewc,True,10000,0.511
